FIPS,Jurisdict,EO_Total,EO_Vert,EO_Invert,EO_Plant,EO_Other,EO_Terr,EO_Aqu,EO_Karst,Hist_Total,Hist_5yr,Irrep_Total,Irrep_Acres,Irrep_Cat1,Irrep_Cat3,Income
51093,Isle of Wight County,4.644,2.773,1.792,4.234,2.773,4.595,2.485,0.000,3.555,2.708,1.609,4.835,4.834,0.141,71376
51095,James City County,3.912,1.099,1.099,3.045,3.258,3.807,1.792,0.000,2.833,1.099,1.099,4.041,0.000,4.040,83048
51097,King and Queen County,3.135,0.000,1.609,2.079,2.485,2.485,2.708,0.000,2.079,1.386,0.693,0.046,0.000,0.046,54516
51099,King George County,2.398,0.000,0.000,1.386,2.079,2.398,0.000,0.000,0.000,0.000,0.693,4.779,4.245,3.917,87321
51101,King William County,3.332,1.099,1.792,2.485,2.303,2.773,2.639,0.000,2.773,2.197,0.693,5.903,3.343,5.780,68720
51103,Lancaster County,2.639,0.693,0.693,1.386,2.197,2.639,0.000,0.000,1.792,0.000,0.693,2.273,1.704,1.652,50739
51105,Lee County,6.052,4.174,5.176,4.595,4.466,5.231,4.754,5.050,4.500,4.407,2.197,4.024,3.872,2.184,32718
51107,Loudoun County,4.317,2.303,2.303,3.258,3.466,4.007,3.219,1.099,3.045,2.708,0.693,2.288,0.000,2.288,136268
51109,Louisa County,2.398,0.000,1.609,0.000,1.946,0.693,2.303,0.000,1.792,0.693,0.000,0.000,0.000,0.000,59343
51111,Lunenburg County,3.526,0.693,2.890,1.792,2.398,2.833,2.890,0.000,1.946,2.303,0.693,1.860,0.000,1.860,41868
51113,Madison County,4.615,2.303,2.485,3.850,3.555,4.477,2.708,0.000,3.332,2.773,1.792,5.571,5.571,0.000,54197
51115,Mathews County,2.398,1.792,1.099,1.099,0.693,2.398,0.000,0.000,2.197,0.000,0.000,0.000,0.000,0.000,67009
51117,Mecklenburg County,3.555,1.099,2.303,2.485,2.565,3.219,2.708,0.000,2.708,2.197,1.386,2.349,0.000,1.566,42025
51119,Middlesex County,2.708,0.693,0.693,1.099,2.398,2.398,1.609,0.000,1.386,0.000,0.000,0.000,0.000,0.000,51917
51121,Montgomery County,4.977,2.079,3.258,4.543,2.996,4.796,1.609,3.091,4.111,3.638,1.792,6.631,6.628,1.105,54641
51125,Nelson County,4.127,1.099,1.609,2.639,3.761,3.761,2.996,0.693,2.773,1.792,0.693,0.340,0.000,0.023,62446
51127,New Kent County,3.892,0.693,0.693,2.944,3.367,3.638,2.708,0.000,3.135,1.946,1.386,5.531,0.850,5.525,79698
51131,Northampton County,5.088,4.419,1.609,3.296,3.912,5.088,0.000,0.000,2.944,3.135,1.386,5.734,5.704,2.331,43553
51133,Northumberland County,2.708,0.693,1.386,1.946,1.609,2.639,0.693,0.000,0.693,1.099,0.000,0.000,0.000,0.000,58677
51135,Nottoway County,3.526,0.693,2.485,2.303,2.565,3.219,2.303,0.000,1.386,2.485,1.099,5.801,0.000,0.000,42869
51137,Orange County,2.708,0.000,1.792,0.000,2.303,1.609,2.398,0.000,1.946,1.609,0.000,0.000,0.000,0.000,68481
51139,Page County,5.004,2.398,2.773,4.304,3.932,4.927,1.386,2.565,3.664,3.178,1.946,4.028,4.028,0.000,47951
51141,Patrick County,3.970,2.773,1.099,3.367,2.079,3.738,2.485,0.000,2.890,0.000,1.099,2.636,0.000,2.636,40486
51143,Pittsylvania County,3.664,2.079,0.693,3.091,2.303,3.611,1.099,0.000,3.045,1.099,1.609,3.921,0.000,3.921,45382
51145,Powhatan County,3.332,0.000,2.079,1.946,2.708,2.708,2.708,0.000,1.946,1.099,0.000,0.000,0.000,0.000,83914
51147,Prince Edward County,2.708,0.000,0.000,1.946,2.197,2.303,1.792,0.000,1.946,0.000,0.000,0.000,0.000,0.000,46189
51149,Prince George County,4.060,2.079,0.693,3.497,2.890,3.892,2.485,0.000,3.178,2.303,0.693,2.329,0.000,2.329,67001
51153,Prince William County,4.700,1.386,2.639,3.738,3.970,4.466,3.296,0.000,2.833,2.485,0.693,0.878,0.870,0.019,103445
51155,Pulaski County,3.638,1.386,2.303,2.708,2.485,3.296,0.693,2.398,3.135,2.197,1.386,5.064,0.196,5.061,52638
51157,Rappahannock County,3.738,0.693,1.386,2.708,3.178,3.332,2.708,0.000,2.833,1.792,0.000,0.000,0.000,0.000,68438
51159,Richmond County,2.890,0.693,0.000,1.386,2.639,1.792,2.565,0.000,1.386,0.000,0.000,0.000,0.000,0.000,49831
51161,Roanoke County,3.584,1.792,2.197,2.197,2.708,3.045,1.099,2.708,2.303,1.792,0.693,0.863,0.000,0.863,65467
51163,Rockbridge County,4.663,1.792,3.332,3.401,3.807,4.419,1.099,3.178,3.638,3.401,2.398,8.591,8.481,6.335,54805
51165,Rockingham County,4.920,3.135,3.296,3.784,3.829,4.718,2.485,3.367,3.689,3.332,1.946,2.907,0.699,2.850,59817
51167,Russell County,5.347,4.111,4.025,4.143,3.497,4.625,4.382,3.738,4.344,3.526,1.946,3.765,3.332,2.783,39482
51169,Scott County,5.796,4.654,4.771,3.584,4.290,4.431,5.081,4.533,4.673,4.094,1.099,1.385,0.000,1.008,39144
51171,Shenandoah County,4.205,2.773,2.485,2.773,3.258,3.871,2.944,2.833,3.970,2.565,0.000,0.000,0.000,0.000,54921
51173,Smyth County,5.043,3.951,3.367,3.526,3.761,4.419,3.871,3.367,4.331,3.497,2.303,5.824,5.744,3.299,40425
51175,Southampton County,5.043,3.296,2.485,4.331,3.761,4.913,3.258,0.693,4.615,3.332,1.946,2.750,0.000,2.750,54611
51177,Spotsylvania County,3.689,0.000,2.197,2.398,3.091,3.178,2.833,0.000,2.197,1.792,0.000,0.000,0.000,0.000,85330
51179,Stafford County,3.951,0.693,1.792,2.833,3.401,3.584,2.944,0.000,2.197,0.693,0.693,0.160,0.000,0.000,106773
51181,Surry County,3.761,2.485,0.693,2.639,2.890,3.638,1.946,0.000,3.045,1.609,0.000,0.000,0.000,0.000,54844
51183,Sussex County,5.100,3.219,2.639,4.605,3.332,4.942,3.258,0.000,4.500,3.434,2.197,4.789,4.486,3.302,45801
51185,Tazewell County,4.812,3.638,3.989,1.946,3.296,3.871,3.784,4.111,3.951,2.890,1.609,5.096,5.072,0.603,40978
51187,Warren County,4.331,1.386,2.944,3.219,3.434,4.111,1.099,3.045,3.219,2.197,0.000,0.000,0.000,0.000,68189
51191,Washington County,4.977,3.989,3.526,3.466,3.332,4.094,4.143,3.258,4.394,3.091,2.303,4.134,4.016,0.393,46262
51193,Westmoreland County,2.773,0.693,0.693,1.609,2.303,2.565,1.386,0.000,2.079,0.693,0.000,0.000,0.000,0.000,54268
51195,Wise County,4.942,3.367,3.638,3.526,3.738,4.543,2.773,3.951,3.611,2.708,1.099,3.082,3.082,0.000,38345
51197,Wythe County,4.025,1.609,2.996,2.398,3.135,3.367,1.386,3.296,3.219,2.639,0.693,0.912,0.912,0.000,48043
51199,York County,4.394,2.398,0.693,3.258,3.807,4.382,0.693,0.693,2.485,2.833,0.000,0.000,0.000,0.000,90367
51510,City of Alexandria,1.099,0.000,0.000,1.099,0.000,1.099,0.000,0.000,2.890,0.000,0.000,0.000,0.000,0.000,96733
51520,City of Bristol,0.693,0.693,0.000,0.000,0.000,0.693,0.000,0.693,0.693,0.000,0.000,0.000,0.000,0.000,37904
51530,City of Buena Vista,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.693,0.000,0.000,0.000,0.000,0.000,34273
51540,City of Charlottesville,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58933
51550,City of Chesapeake,4.511,2.833,2.485,3.761,3.091,4.511,1.099,0.000,3.526,2.197,1.099,1.064,1.064,0.000,75790
51570,City of Colonial Heights,0.693,0.000,0.000,0.000,0.693,0.693,0.000,0.000,1.386,0.000,0.000,0.000,0.000,0.000,53716
51580,City of Covington,1.386,0.693,0.693,0.693,0.000,1.099,0.693,0.000,0.693,0.000,0.000,0.000,0.000,0.000,39432
51590,City of Danville,0.693,0.693,0.000,0.000,0.000,0.000,0.693,0.000,1.792,0.000,0.000,0.000,0.000,0.000,36301
51595,City of Emporia,1.792,0.000,1.792,0.000,0.000,0.000,1.792,0.000,1.946,1.099,0.000,0.000,0.000,0.000,30857
51600,City of Fairfax,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.099,0.000,0.000,0.000,0.000,0.000,111574
51610,City of Falls Church,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,124796
51620,City of Franklin,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.693,0.000,0.000,0.000,0.000,0.000,40375
51630,City of Fredericksburg,1.609,0.000,0.000,0.000,1.609,1.099,1.099,0.000,0.693,0.000,0.000,0.000,0.000,0.000,63274
51640,City of Galax,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.099,0.000,0.000,0.000,0.000,0.000,31938
51650,City of Hampton,2.944,2.197,1.386,1.792,1.099,2.890,0.693,0.000,2.197,1.609,0.000,0.000,0.000,0.000,54550
